coc_code,state_code,coc_name,coc_total_population_zillow_2017,pit_count_from_2017_zillow_2017,estimated_homeless_rate_percent_zillow_2017,zri_as_percent_of_median_income_zillow_2017,percent_of_coc_living_in_extreme_poverty_zillow_2017,coc_category,pit_overall_homeless_2017,pit_sheltered_es_homeless_2017,pit_sheltered_th_homeless_2017,pit_sheltered_sh_homeless_2017,pit_sheltered_total_homeless_2017,pit_unsheltered_homeless_2017,pit_homeless_individuals_2017,pit_sheltered_es_homeless_individuals_2017,pit_sheltered_th_homeless_individuals_2017,pit_sheltered_sh_homeless_individuals_2017,pit_sheltered_total_homeless_individuals_2017,pit_unsheltered_homeless_individuals_2017,pit_homeless_people_in_families_2017,pit_sheltered_es_homeless_people_in_families_2017,pit_sheltered_th_homeless_people_in_families_2017,pit_sheltered_total_homeless_people_in_families_2017,pit_unsheltered_homeless_people_in_families_2017,pit_homeless_family_households_2017,pit_sheltered_es_homeless_family_households_2017,pit_sheltered_th_homeless_family_households_2017,pit_sheltered_total_homeless_family_households_2017,pit_unsheltered_homeless_family_households_2017,pit_chronically_homeless_2017,pit_sheltered_es_chronically_homeless_2017,pit_sheltered_sh_chronically_homeless_2017,pit_sheltered_total_chronically_homeless_2017,pit_unsheltered_chronically_homeless_2017,pit_chronically_homeless_individuals_2017,pit_sheltered_es_chronically_homeless_individuals_2017,pit_sheltered_sh_chronically_homeless_individuals_2017,pit_sheltered_total_chronically_homeless_individuals_2017,pit_unsheltered_chronically_homeless_individuals_2017,pit_chronically_homeless_people_in_families_2017,pit_sheltered_es_chronically_homeless_people_in_families_2017,pit_sheltered_total_chronically_homeless_people_in_families_2017,pit_unsheltered_chronically_homeless_people_in_families_2017,pit_homeless_veterans_2017,pit_sheltered_es_homeless_veterans_2017,pit_sheltered_th_homeless_veterans_2017,pit_sheltered_sh_homeless_veterans_2017,pit_sheltered_total_homeless_veterans_2017,pit_unsheltered_homeless_veterans_2017,pit_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_es_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_th_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_sh_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_total_homeless_unaccompanied_youth_under_25_2017,pit_unsheltered_homeless_unaccompanied_youth_under_25_2017,pit_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_es_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_th_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_sh_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_total_homeless_unaccompanied_youth_under_18_2017,pit_unsheltered_homeless_unaccompanied_youth_under_18_2017,pit_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_es_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_th_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_sh_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_total_homeless_unaccompanied_youth_age_18_24_2017,pit_unsheltered_homeless_unaccompanied_youth_age_18_24_2017,pit_homeless_parenting_youth_under_25_2017,pit_sheltered_es_homeless_parenting_youth_under_25_2017,pit_sheltered_th_homeless_parenting_youth_under_25_2017,pit_sheltered_total_homeless_parenting_youth_under_25_2017,pit_unsheltered_homeless_parenting_youth_under_25_2017,pit_homeless_parenting_youth_under_18_2017,pit_sheltered_es_homeless_parenting_youth_under_18_2017,pit_sheltered_th_homeless_parenting_youth_under_18_2017,pit_sheltered_total_homeless_parenting_youth_under_18_2017,pit_unsheltered_homeless_parenting_youth_under_18_2017,pit_homeless_parenting_youth_age_18_24_2017,pit_sheltered_es_homeless_parenting_youth_age_18_24_2017,pit_sheltered_th_homeless_parenting_youth_age_18_24_2017,pit_sheltered_total_homeless_parenting_youth_age_18_24_2017,pit_unsheltered_homeless_parenting_youth_age_18_24_2017,pit_homeless_children_of_parenting_youth_2017,pit_sheltered_es_homeless_children_of_parenting_youth_2017,pit_sheltered_th_homeless_children_of_parenting_youth_2017,pit_sheltered_total_homeless_children_of_parenting_youth_2017,pit_unsheltered_homeless_children_of_parenting_youth_2017,cluster_number_zillow_2017,cluster_location,cluster_description
fl-602,fl,punta gorda/charlotte county coc,173501,222,0.17,45.96173287,5.145140039,suburban cocs,222,66,23,0,89,133,165,41,23,0,64,101,57,25,0,25,32,13,7,0,7,6,33,4,0,4,29,29,4,0,4,25,4,0,0,4,55,30,23,0,53,2,7,2,1,0,3,4,0,0,0,0,0,0,7,2,1,0,3,4,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,3,3,0,3,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
fl-603,fl,ft myers/cape coral/lee county coc,698265,431,0.08,37.98197458,7.233233744,suburban cocs,431,206,38,0,244,187,317,108,34,0,142,175,114,98,4,102,12,35,31,1,32,3,65,21,0,21,44,65,21,0,21,44,0,0,0,0,13,4,0,0,4,9,23,18,0,0,18,5,12,12,0,0,12,0,11,6,0,0,6,5,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
fl-604,fl,monroe county coc,78399,631,1.15,62.8533853,6.97881886,rural cocs,631,218,121,0,339,292,581,202,90,0,292,289,50,16,31,47,3,18,5,12,17,1,83,1,0,1,82,83,1,0,1,82,0,0,0,0,87,31,26,0,57,30,26,14,4,0,18,8,11,11,0,0,11,0,15,3,4,0,7,8,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,2,1,1,2,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
fl-605,fl,west palm beach/palm beach county coc,1418708,1607,0.16,35.76477993,5.633776016,suburban cocs,1607,347,179,0,526,1081,1281,117,109,0,226,1055,326,230,70,300,26,101,70,23,93,8,252,18,0,18,234,252,18,0,18,234,0,0,0,0,65,19,20,0,39,26,99,14,22,0,36,63,8,6,0,0,6,2,91,8,22,0,30,61,18,9,8,17,1,1,0,1,1,0,17,9,7,16,1,24,13,10,23,1,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
fl-606,fl,naples/collier county coc,355381,621,0.19,54.04498034,4.601607247,suburban cocs,621,244,190,0,434,187,502,224,153,0,377,125,119,20,37,57,62,32,6,7,13,19,90,46,0,46,44,77,46,0,46,31,13,0,0,13,9,4,0,0,4,5,117,31,47,0,78,39,0,0,0,0,0,0,117,31,47,0,78,39,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ga-500,ga,atlanta continuum of care,460412,3572,0.93,34.04247831,12.35486841,major cities,3572,1567,1324,0,2891,681,3089,1305,1117,0,2422,667,483,262,207,469,14,163,88,70,158,5,346,215,0,215,131,332,207,0,207,125,14,8,8,6,386,87,234,0,321,65,199,93,88,0,181,18,11,6,5,0,11,0,188,87,83,0,170,18,7,4,2,6,1,0,0,0,0,0,7,4,2,6,1,9,5,3,8,1,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ga-501,ga,georgia balance of state coc,6905893,3716,0.08,26.8433738,7.659464704,rural cocs,3716,1164,679,0,1843,1873,2219,382,133,0,515,1704,1497,782,546,1328,169,620,375,176,551,69,242,74,0,74,168,210,44,0,44,166,32,30,30,2,157,27,13,0,40,117,177,62,10,0,72,105,3,2,0,0,2,1,174,60,10,0,70,104,45,7,26,33,12,0,0,0,0,0,45,7,26,33,12,97,18,62,80,17,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ga-503,ga,athens/clarke county coc,123169,239,0.24,43.32362785,17.96612163,other urban cocs,239,145,1,0,146,93,182,88,1,0,89,93,57,57,0,57,0,19,19,0,19,0,53,18,0,18,35,53,18,0,18,35,0,0,0,0,9,5,0,0,5,4,11,6,0,0,6,5,0,0,0,0,0,0,11,6,0,0,6,5,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ga-504,ga,augusta coc,201545,246,0.14,25.00445817,13.32364588,other urban cocs,246,144,55,0,199,47,217,126,44,0,170,47,29,18,11,29,0,11,6,5,11,0,30,28,0,28,2,28,26,0,26,2,2,2,2,0,44,27,12,0,39,5,4,2,0,0,2,2,0,0,0,0,0,0,4,2,0,0,2,2,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ga-505,ga,columbus-muscogee/russell county coc,259291,319,0.16,22.18518816,9.503736825,other urban cocs,319,207,39,0,246,73,245,137,35,0,172,73,74,70,4,74,0,21,20,1,21,0,21,21,0,21,0,21,21,0,21,0,0,0,0,0,17,11,1,0,12,5,13,10,1,0,11,2,2,2,0,0,2,0,11,8,1,0,9,2,5,5,0,5,0,0,0,0,0,0,5,5,0,5,0,12,12,0,12,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ga-506,ga,marietta/cobb county coc,737643,403,0.06,24.75433756,5.273060223,suburban cocs,403,166,119,0,285,118,236,66,66,0,132,104,167,100,53,153,14,46,26,16,42,4,53,20,0,20,33,51,18,0,18,33,2,2,2,0,21,4,3,0,7,14,9,4,3,0,7,2,0,0,0,0,0,0,9,4,3,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
ga-507,ga,savannah/chatham county coc,285936,926,0.42,27.44716022,7.564635198,other urban cocs,926,244,319,0,563,363,751,141,247,0,388,363,175,103,72,175,0,53,31,22,53,0,234,67,0,67,167,229,62,0,62,167,5,5,5,0,38,6,5,0,11,27,87,22,19,0,41,46,10,9,0,0,9,1,77,13,19,0,32,45,14,4,10,14,0,0,0,0,0,0,14,4,10,14,0,16,5,11,16,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
hi-500,hi,hawaii balance of state coc,431130,2261,0.7,46.73185272,6.084549003,rural cocs,2261,283,502,0,785,1476,1423,117,128,0,245,1178,838,166,374,540,298,208,44,96,140,68,641,52,0,52,589,551,27,0,27,524,90,25,25,65,166,11,12,0,23,143,109,3,3,0,6,103,2,0,1,0,1,1,107,3,2,0,5,102,23,5,15,20,3,0,0,0,0,0,23,5,15,20,3,22,4,12,16,6,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
hi-501,hi,honolulu coc,989820,4959,0.6,37.34263459,4.515781836,suburban cocs,4959,1058,1552,25,2635,2324,3112,629,359,25,1013,2099,1847,429,1193,1622,225,458,115,284,399,59,1159,143,12,155,1004,1037,125,12,137,900,122,18,18,104,449,95,116,3,214,235,210,34,16,0,50,160,24,1,0,0,1,23,186,33,16,0,49,137,48,8,32,40,8,0,0,0,0,0,48,8,32,40,8,46,8,32,40,6,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ia-500,ia,"sioux city/dakota, woodbury counties coc",122918,288,0.25,24.10978709,6.181689722,other urban cocs,288,171,115,0,286,2,159,136,21,0,157,2,129,35,94,129,0,39,10,29,39,0,17,15,0,15,2,15,13,0,13,2,2,2,2,0,12,10,1,0,11,1,6,1,5,0,6,0,0,0,0,0,0,0,6,1,5,0,6,0,4,0,4,4,0,0,0,0,0,0,4,0,4,4,0,6,0,6,6,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ia-501,ia,iowa balance of state coc,2442251,1792,0.08,23.55983298,5.511019025,rural cocs,1792,766,976,0,1742,50,807,494,263,0,757,50,985,272,713,985,0,294,84,210,294,0,107,90,0,90,17,84,67,0,67,17,23,23,23,0,81,39,31,0,70,11,95,66,26,0,92,3,8,5,3,0,8,0,87,61,23,0,84,3,57,13,44,57,0,0,0,0,0,0,57,13,44,57,0,86,21,65,86,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
ia-502,ia,des moines/polk county coc,481896,676,0.15,24.11390289,5.31241023,other urban cocs,676,436,188,0,624,52,534,327,155,0,482,52,142,109,33,142,0,49,35,14,49,0,75,38,0,38,37,71,34,0,34,37,4,4,4,0,78,28,44,0,72,6,39,20,18,0,38,1,4,4,0,0,4,0,35,16,18,0,34,1,12,4,8,12,0,0,0,0,0,0,12,4,8,12,0,15,6,9,15,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
id-500,id,boise/ada county coc,434095,833,0.21,25.81900612,5.669356086,other urban cocs,833,579,143,0,722,111,671,481,93,0,574,97,162,98,50,148,14,46,28,14,42,4,327,270,0,270,57,302,245,0,245,57,25,25,25,0,124,53,59,0,112,12,53,43,5,0,48,5,2,2,0,0,2,0,51,41,5,0,46,5,3,1,1,2,1,0,0,0,0,0,3,1,1,2,1,4,1,1,2,2,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
id-501,id,idaho balance of state,1220324,1204,0.12,26.65722059,6.13559138,rural cocs,1204,424,252,0,676,528,638,192,91,0,283,355,566,232,161,393,173,165,75,50,125,40,109,32,0,32,77,89,12,0,12,77,20,20,20,0,104,20,27,0,47,57,60,26,15,0,41,19,5,5,0,0,5,0,55,21,15,0,36,19,14,8,5,13,1,0,0,0,0,0,14,8,5,13,1,20,8,9,17,3,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
il-500,il,mchenry county coc,300660,155,0.06,24.24567227,3.110049997,suburban cocs,155,47,103,0,150,5,87,21,61,0,82,5,68,26,42,68,0,21,7,14,21,0,5,1,0,1,4,5,1,0,1,4,0,0,0,0,24,2,22,0,24,0,15,5,10,0,15,0,5,1,4,0,5,0,10,4,6,0,10,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
il-501,il,"rockford/winnebago, boone counties coc",340814,291,0.1,25.72950781,6.476449653,suburban cocs,291,183,76,0,259,32,178,117,29,0,146,32,113,66,47,113,0,38,22,16,38,0,31,14,0,14,17,31,14,0,14,17,0,0,0,0,23,7,13,0,20,3,13,8,2,0,10,3,0,0,0,0,0,0,13,8,2,0,10,3,18,5,13,18,0,0,0,0,0,0,18,5,13,18,0,34,5,29,34,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
il-502,il,waukegan/north chicago/lake county coc,729261,228,0.04,24.7208268,3.684215971,suburban cocs,228,125,76,0,201,27,122,66,29,0,95,27,106,59,47,106,0,32,17,15,32,0,18,8,0,8,10,18,8,0,8,10,0,0,0,0,8,3,2,0,5,3,7,5,1,0,6,1,0,0,0,0,0,0,7,5,1,0,6,1,4,1,3,4,0,0,0,0,0,0,4,1,3,4,0,8,3,5,8,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
il-503,il,champaign/urbana/rantoul/champaign county coc,207074,160,0.08,25.90588768,12.90126261,other urban cocs,160,57,86,0,143,17,100,45,42,0,87,13,60,12,44,56,4,20,4,15,19,1,11,8,0,8,3,11,8,0,8,3,0,0,0,0,6,1,2,0,3,3,16,9,7,0,16,0,5,5,0,0,5,0,11,4,7,0,11,0,4,2,2,4,0,0,0,0,0,0,4,2,2,4,0,7,3,4,7,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
il-504,il,madison county coc,266162,176,0.08,20.6000785,6.164215564,suburban cocs,176,77,78,0,155,21,51,22,11,0,33,18,125,55,67,122,3,35,17,17,34,1,28,23,0,23,5,6,4,0,4,2,22,19,19,3,10,6,0,0,6,4,3,3,0,0,3,0,0,0,0,0,0,0,3,3,0,0,3,0,6,5,1,6,0,0,0,0,0,0,6,5,1,6,0,12,10,2,12,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
il-506,il,joliet/bolingbrook/will county coc,803325,282,0.04,24.42981895,3.22599177,suburban cocs,282,143,108,0,251,31,185,107,47,0,154,31,97,36,61,97,0,27,10,17,27,0,24,11,0,11,13,24,11,0,11,13,0,0,0,0,18,7,10,0,17,1,13,9,2,0,11,2,0,0,0,0,0,0,13,9,2,0,11,2,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,5,2,3,5,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
il-507,il,"peoria/perkin/fulton, peoria, tazewell, woodford coc",396538,329,0.09,23.69293562,5.892733431,suburban cocs,329,232,61,0,293,36,240,181,23,0,204,36,89,51,38,89,0,29,16,13,29,0,73,60,0,60,13,66,53,0,53,13,7,7,7,0,32,30,2,0,32,0,23,9,5,0,14,9,0,0,0,0,0,0,23,9,5,0,14,9,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,4,4,0,4,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
il-508,il,east saint louis/belleville/saint clair county coc,271982,300,0.15,19.25346099,8.177298656,suburban cocs,300,26,128,0,154,146,174,6,50,0,56,118,126,20,78,98,28,42,7,26,33,9,21,0,0,0,21,19,0,0,0,19,2,0,0,2,36,0,24,0,24,12,5,0,2,0,2,3,0,0,0,0,0,0,5,0,2,0,2,3,10,2,8,10,0,0,0,0,0,0,10,2,8,10,0,16,5,11,16,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
il-509,il,dekalb city & county coc,104571,90,0.11,28.10447106,10.084088210000001,suburban cocs,90,72,15,0,87,3,51,46,2,0,48,3,39,26,13,39,0,11,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,3,3,0,0,3,0,0,0,0,0,0,0,3,3,0,0,3,0,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
il-510,il,chicago coc,2712975,5657,0.23,36.20452825,9.493608856,major cities,5657,1368,2688,40,4096,1561,3724,1127,998,40,2165,1559,1933,241,1690,1931,2,571,83,487,570,1,863,251,40,291,572,858,248,40,288,570,5,3,3,2,528,44,238,1,283,245,277,85,128,0,213,64,3,0,0,0,0,3,274,85,128,0,213,61,161,20,141,161,0,0,0,0,0,0,161,20,141,161,0,217,26,191,217,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
il-511,il,cook county coc,2494027,780,0.04,28.56444607,5.131522239,suburban cocs,780,443,222,23,688,92,508,321,75,23,419,89,272,122,147,269,3,93,40,52,92,1,107,72,12,84,23,104,69,12,81,23,3,3,3,0,53,20,20,10,50,3,43,11,29,0,40,3,0,0,0,0,0,0,43,11,29,0,40,3,15,3,10,13,2,0,0,0,0,0,15,3,10,13,2,20,4,15,19,1,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
il-512,il,bloomington/central illinois coc,530800,433,0.1,25.14458208,7.202851338,rural cocs,433,282,98,12,392,41,253,184,37,12,233,20,180,98,61,159,21,63,27,27,54,9,52,45,0,45,7,46,39,0,39,7,6,6,6,0,21,13,0,5,18,3,53,39,14,0,53,0,28,21,7,0,28,0,25,18,7,0,25,0,8,3,2,5,3,1,0,1,1,0,7,3,1,4,3,14,7,3,10,4,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
il-513,il,springfield/sangamon county coc,198262,230,0.12,28.3567829,6.016317529,other urban cocs,230,138,81,0,219,11,171,123,37,0,160,11,59,15,44,59,0,20,5,15,20,0,29,26,0,26,3,26,23,0,23,3,3,3,3,0,16,1,13,0,14,2,8,4,4,0,8,0,0,0,0,0,0,0,8,4,4,0,8,0,3,0,3,3,0,0,0,0,0,0,3,0,3,3,0,3,0,3,3,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
il-514,il,dupage county coc,917503,331,0.04,26.88343573,3.124216249,suburban cocs,331,195,121,0,316,15,205,149,41,0,190,15,126,46,80,126,0,45,15,30,45,0,36,33,0,33,3,36,33,0,33,3,0,0,0,0,8,3,5,0,8,0,48,15,33,0,48,0,3,3,0,0,3,0,45,12,33,0,45,0,15,0,15,15,0,0,0,0,0,0,15,0,15,15,0,15,0,15,15,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
il-515,il,south central illinois coc,401555,108,0.03,29.56672425,6.203334393,rural cocs,108,49,27,0,76,32,44,19,1,0,20,24,64,30,26,56,8,19,9,8,17,2,5,3,0,3,2,5,3,0,3,2,0,0,0,0,3,3,0,0,3,0,6,3,0,0,3,3,0,0,0,0,0,0,6,3,0,0,3,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4,0,0,0,4,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
il-516,il,decatur/macon county coc,107615,130,0.15,23.9073676,8.944492013,other urban cocs,130,90,24,0,114,16,107,82,9,0,91,16,23,8,15,23,0,10,3,7,10,0,23,21,0,21,2,23,21,0,21,2,0,0,0,0,11,9,0,0,9,2,5,5,0,0,5,0,1,1,0,0,1,0,4,4,0,0,4,0,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,5,4,1,5,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
il-517,il,aurora/elgin/kane county coc,589685,360,0.07,26.2532498,4.115127918,suburban cocs,360,268,67,0,335,25,266,228,13,0,241,25,94,40,54,94,0,27,13,14,27,0,63,48,0,48,15,61,46,0,46,15,2,2,2,0,21,21,0,0,21,0,14,14,0,0,14,0,0,0,0,0,0,0,14,14,0,0,14,0,5,3,2,5,0,0,0,0,0,0,5,3,2,5,0,9,7,2,9,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
il-518,il,rock island/moline/northwestern illinois coc,656316,243,0.04,26.3132116,5.822515503,rural cocs,243,135,99,0,234,9,132,86,37,0,123,9,111,49,62,111,0,37,14,23,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,1,0,22,2,33,8,24,0,32,1,1,1,0,0,1,0,32,7,24,0,31,1,11,3,8,11,0,0,0,0,0,0,11,3,8,11,0,11,3,8,11,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
il-519,il,west central illinois coc,223572,80,0.04,30.06047424,6.42434386,rural cocs,80,45,35,0,80,0,49,30,19,0,49,0,31,15,16,31,0,12,6,6,12,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,9,4,5,0,9,0,3,3,0,0,3,0,6,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
il-520,il,southern illinois coc,576910,435,0.08,30.0822938,7.118179359,rural cocs,435,185,113,0,298,137,247,107,56,0,163,84,188,78,57,135,53,76,30,23,53,23,85,40,0,40,45,15,10,0,10,5,70,30,30,40,19,8,5,0,13,6,136,57,30,0,87,49,0,0,0,0,0,0,136,57,30,0,87,49,19,8,3,11,8,0,0,0,0,0,19,8,3,11,8,19,8,3,11,8,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
in-502,in,indiana balance of state coc,5672562,3655,0.07,23.07329144,6.070700229,rural cocs,3655,2237,952,23,3212,443,2340,1444,458,23,1925,415,1315,793,494,1287,28,418,253,156,409,9,330,313,5,318,12,305,288,5,293,12,25,25,25,0,287,128,105,23,256,31,221,145,43,1,189,32,28,23,4,0,27,1,193,122,39,1,162,31,55,29,25,54,1,0,0,0,0,0,55,29,25,54,1,71,37,33,70,1,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
in-503,in,indianapolis coc,937949,1783,0.21,27.20013103,9.334647595,major cities,1783,1131,505,21,1657,126,1283,788,348,21,1157,126,500,343,157,500,0,158,110,48,158,0,207,148,17,165,42,181,122,17,139,42,26,26,26,0,328,58,253,2,313,15,73,52,9,2,63,10,2,2,0,0,2,0,71,50,9,2,61,10,15,8,7,15,0,0,0,0,0,0,15,8,7,15,0,22,10,12,22,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ks-502,ks,wichita/sedgwick county coc,509913,575,0.12,22.91395334,6.726298535,major cities,575,348,110,6,464,111,395,239,39,6,284,111,180,109,71,180,0,54,33,21,54,0,39,7,0,7,32,39,7,0,7,32,0,0,0,0,57,36,0,1,37,20,22,9,7,0,16,6,1,1,0,0,1,0,21,8,7,0,15,6,12,7,5,12,0,0,0,0,0,0,12,7,5,12,0,19,10,9,19,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
ks-503,ks,topeka/shawnee county coc,178342,356,0.22,21.92308734,4.802472812,other urban cocs,356,264,58,0,322,34,247,184,29,0,213,34,109,80,29,109,0,36,26,10,36,0,119,114,0,114,5,79,74,0,74,5,40,40,40,0,61,41,13,0,54,7,5,4,1,0,5,0,0,0,0,0,0,0,5,4,1,0,5,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ks-505,ks,overland park/shawnee/johnson county coc,578042,130,0.03,23.61670921,2.718099195,suburban cocs,130,84,29,0,113,17,34,11,6,0,17,17,96,73,23,96,0,33,24,9,33,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,1,0,1,0,1,0,9,0,3,0,3,6,0,0,0,0,0,0,9,0,3,0,3,6,5,4,1,5,0,0,0,0,0,0,5,4,1,5,0,7,5,2,7,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
ks-507,ks,kansas balance of state coc,1474552,1037,0.08,20.99027809,5.802250275,rural cocs,1037,504,391,0,895,142,608,335,131,0,466,142,429,169,260,429,0,124,51,73,124,0,135,107,0,107,28,93,65,0,65,28,42,42,42,0,74,25,39,0,64,10,50,31,8,0,39,11,4,4,0,0,4,0,46,27,8,0,35,11,12,4,8,12,0,0,0,0,0,0,12,4,8,12,0,25,8,17,25,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
ky-500,ky,kentucky balance of state coc,3348234,1940,0.07,25.65327543,8.046736833,rural cocs,1940,1072,343,0,1415,525,1326,691,189,0,880,446,614,381,154,535,79,201,127,50,177,24,164,86,0,86,78,142,71,0,71,71,22,15,15,7,161,64,72,0,136,25,135,78,16,0,94,41,6,3,0,0,3,3,129,75,16,0,91,38,42,23,13,36,6,1,0,1,1,0,41,23,12,35,6,56,36,14,50,6,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
ky-501,ky,louisville/jefferson county coc,763639,1034,0.15,25.67320821,6.90491177,major cities,1034,524,359,0,883,151,769,412,208,0,620,149,265,112,151,263,2,88,39,48,87,1,123,87,0,87,36,123,87,0,87,36,0,0,0,0,166,38,113,0,151,15,53,39,9,0,48,5,11,10,0,0,10,1,42,29,9,0,38,4,16,5,11,16,0,0,0,0,0,0,16,5,11,16,0,28,6,22,28,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ky-502,ky,lexington/fayette county coc,314752,1051,0.37,27.06845663,8.86058655,other urban cocs,1051,578,420,2,1000,51,937,504,380,2,886,51,114,74,40,114,0,45,25,20,45,0,118,92,2,94,24,118,92,2,94,24,0,0,0,0,162,54,104,0,158,4,65,28,24,0,52,13,1,1,0,0,1,0,64,27,24,0,51,13,4,1,3,4,0,0,0,0,0,0,4,1,3,4,0,5,2,3,5,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
